Secuencia;Unidad;Eventos;Fecha;Pt. Referencia;Dirección;Velocidad;Temperatura;Conductor;Latitud;Longitud
197;POZ553;Conduciendo;Dec 24 2025 10:20 AM;;Av Subachoque-83, Tenjo, Cundinamarca, Colombia;0;N/A;;4.8517980000;-74.1977345000
196;POZ553;Inmóvil - Detenido;Dec 19 2025 04:55 PM;;Cl139 103d-74, Bogota, Cundinamarca;0;N/A;;4.7412845000;-74.0974103000
195;POZ553;Viaje detenido;Dec 19 2025 04:52 PM;;Cl139 103cbis-16, Bogota, Cundinamarca;0;N/A;;4.7410831000;-74.0967305000
194;POZ553;Inicio de Viaje;Dec 19 2025 04:51 PM;;Cl139 101b-26, Bogota, Cundinamarca;33;N/A;;4.7402346000;-74.0943093000
193;POZ553;Viaje detenido;Dec 19 2025 04:49 PM;;Cl139 99b-33, Bogota, Cundinamarca;0;N/A;;4.7398201000;-74.0930526000
192;POZ553;Inicio de Viaje;Dec 19 2025 04:48 PM;;Cl139 98b-15, Bogota, Cundinamarca, Colombia;17;N/A;;4.7392980000;-74.0916855000
191;POZ553;Viaje detenido;Dec 19 2025 04:46 PM;;Kr98b 140, Bogota, Cundinamarca;0;N/A;;4.7403291000;-74.0909960000
190;POZ553;Inicio de Viaje;Dec 19 2025 04:46 PM;;Kr98b 140, Bogota, Cundinamarca;22;N/A;;4.7405770000;-74.0908995000
189;POZ553;Inmóvil - Detenido;Dec 19 2025 04:45 PM;;Kr98b 140b-94, Bogota, Cundinamarca;6;N/A;;4.7416170000;-74.0904136000
188;POZ553;Viaje detenido;Dec 19 2025 04:42 PM;;Kr99 146a-12, Bogota, Cundinamarca, Colombia;0;N/A;;4.7427595000;-74.0897451000
187;POZ553;Conduciendo;Dec 19 2025 04:41 PM;;Kr99 47-86, Bogota, Cundinamarca;24;N/A;;4.7440690000;-74.0895571000
186;POZ553;Conduciendo;Dec 19 2025 04:41 PM;;Cl148 99-4, Bogota, Cundinamarca;16;N/A;;4.7455198000;-74.0891588000
185;POZ553;Inicio de Viaje;Dec 19 2025 04:40 PM;;Cl148 92-66, Bogota, Cundinamarca, Colombia;14;N/A;;4.7443258000;-74.0849306000
184;POZ553;Viaje detenido;Dec 19 2025 04:39 PM;;Kr92 149-12, Bogota, Cundinamarca, Colombia;0;N/A;;4.7446361000;-74.0844053000
183;POZ553;Conduciendo;Dec 19 2025 04:38 PM;;Kr92 149-70, Bogota, Cundinamarca;25;N/A;;4.7451091000;-74.0846025000
182;POZ553;Inicio de Viaje;Dec 19 2025 04:37 PM;;Kr92 15a-94, Bogota, Cundinamarca;20;N/A;;4.7488675000;-74.0833628000
