,Sequence,Unit,Events,Date,Landmark,Address,Speed,Temperature,Driver,Latitude,Longitude
165,672,LPL614,Drive,Jun 01 2025 01:57 PM,COSTA FRENOS,"Dg83 19-55, Soledad, Atlantico",20,,,10.9212453,-74.8175221
167,670,LPL614,Drive,Jun 01 2025 01:56 PM,COSTA FRENOS,"Kr12 51b-50, Barranquilla, Atlantico",9,,,10.92437,-74.8155851
168,669,LPL614,Drive,Jun 01 2025 01:56 PM,COSTA FRENOS,"Kr12 51b-62, Barranquilla, Atlantico",9,,,10.9244568,-74.8156846
171,666,LPL614,Drive,Jun 01 2025 01:54 PM,COSTA FRENOS,"Kr27c 51b-48, Barranquilla, Atlantico",33,,,10.9227408,-74.8154745
173,664,LPL614,Drive,Jun 01 2025 01:52 PM,SOLEDAD,"Kr27c 46-40, Barranquilla, Atlantico",32,,,10.9232725,-74.8036538
174,663,LPL614,Drive,Jun 01 2025 01:51 PM,SOLEDAD,"Cl46 13a-80, Barranquilla, Atlantico",24,,,10.923309,-74.8028693
177,660,LPL614,Drive,Jun 01 2025 01:47 PM,SOLEDAD,"Kr41c, Soledad, Atlantico, Colombia",22,,,10.9250046,-74.791177
178,659,LPL614,Drive,Jun 01 2025 01:46 PM,SOLEDAD,"Kr41c, Soledad, Atlantico",20,,,10.9271968,-74.7876773
180,657,LPL614,Drive,Jun 01 2025 01:44 PM,,"Kr42-40, Barranquilla, Atlantico",20,,,10.9316601,-74.783836
181,656,LPL614,Drive,Jun 01 2025 01:44 PM,,"Kr42-30, Barranquilla, Atlantico",20,,,10.9319988,-74.783619
182,655,LPL614,Drive,Jun 01 2025 01:44 PM,,"Kr41c 38, Soledad, Atlantico",19,,,10.9320051,-74.7829675
183,654,LPL614,Drive,Jun 01 2025 01:44 PM,,"Kr41c 30, Soledad, Atlantico",28,,,10.9320685,-74.7826618
184,653,LPL614,Drive,Jun 01 2025 01:43 PM,,"Kr41c 30, Soledad, Atlantico",35,,,10.932215,-74.7824596
185,652,LPL614,Drive,Jun 01 2025 01:43 PM,,"Cl19, Barranquilla, Atlantico",35,,,10.9344976,-74.7807238
186,651,LPL614,Drive,Jun 01 2025 01:43 PM,,"Cl19 1e-72, Barranquilla, Atlantico",14,,,10.9361865,-74.780669
187,650,LPL614,Drive,Jun 01 2025 01:42 PM,,"Cl19 1e-67, Barranquilla, Atlantico",16,,,10.936273,-74.7807895
188,649,LPL614,Drive,Jun 01 2025 01:42 PM,,"Cl30, Barranquilla, Atlantico, Colombia",24,,,10.9361603,-74.7812488
189,648,LPL614,Drive,Jun 01 2025 01:42 PM,,"Cl30, Barranquilla, Atlantico",22,,,10.9359343,-74.7813885
190,647,LPL614,Drive,Jun 01 2025 01:42 PM,,"Cl19, Barranquilla, Atlantico",37,,,10.9350541,-74.7808148
191,646,LPL614,Drive,Jun 01 2025 01:40 PM,,"Cl30 26-49, Soledad, Atlantico",43,,,10.923979,-74.7774628
192,645,LPL614,Drive,Jun 01 2025 01:40 PM,,"Cl30 26-34, Soledad, Atlantico",43,,,10.9235363,-74.7772833
195,642,LPL614,Drive,Jun 01 2025 01:36 PM,,"Cl30 15a-95, Soledad, Atlantico",27,,,10.9141306,-74.7734175
196,641,LPL614,Drive,Jun 01 2025 01:35 PM,,"Cl30 13b-63, Soledad, Atlantico",35,,,10.9084091,-74.771063
197,640,LPL614,Drive,Jun 01 2025 01:33 PM,,"Cl10, Soledad, Atlantico",35,,,10.8941448,-74.76937
198,639,LPL614,Drive,Jun 01 2025 01:33 PM,,"Cl10 41-75, Soledad, Atlantico",28,,,10.890199,-74.7696988
