UnitName,DayDate,Decelerations,Accelerations,HarshTurns,DistanceDriven1,DriveTime,OffTime,IdleTime,Textbox17,MaxSpeed,DriverName,GroupName
HBZN580NKLAH21750,1/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,2/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,3/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,4/06/2025,0,0,0,"0,00",0:00:00,23:59:36,0:00:24,0:00:24,0 kph,,
HBZN580NKLAH21750,5/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,6/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,7/06/2025,0,0,0,"0,00",0:00:00,22:07:13,1:52:47,1:52:47,0 kph,,
HBZN580NKLAH21750,8/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,9/06/2025,0,0,0,"0,00",0:00:00,17:07:36,6:52:24,6:52:24,0 kph,,
HBZN580NKLAH21750,10/06/2025,0,0,0,"0,00",0:00:00,16:42:35,7:17:25,7:17:25,0 kph,,
HBZN580NKLAH21750,11/06/2025,0,0,0,"0,00",0:00:00,18:20:15,5:39:45,5:39:45,0 kph,,
HBZN580NKLAH21750,12/06/2025,0,0,0,"0,00",0:00:00,20:15:52,3:44:08,3:44:08,0 kph,,
HBZN580NKLAH21750,13/06/2025,0,0,0,"3,47",0:15:48,22:40:38,1:03:34,1:19:22,14 kph,,
HBZN580NKLAH21750,14/06/2025,0,0,0,"2,50",0:28:13,21:21:59,2:09:48,2:38:01,14 kph,,
HBZN580NKLAH21750,15/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,16/06/2025,0,0,0,"0,00",0:00:00,15:15:41,8:44:19,8:44:19,0 kph,,
HBZN580NKLAH21750,17/06/2025,0,0,0,"0,00",0:00:00,19:50:33,4:09:27,4:09:27,0 kph,,
HBZN580NKLAH21750,18/06/2025,0,0,0,"0,00",0:00:00,20:18:09,3:41:51,3:41:51,0 kph,,
HBZN580NKLAH21750,19/06/2025,0,0,0,"0,00",0:00:00,18:25:35,5:34:25,5:34:25,0 kph,,
HBZN580NKLAH21750,20/06/2025,0,0,0,"0,00",0:00:00,17:39:23,6:20:37,6:20:37,0 kph,,
HBZN580NKLAH21750,21/06/2025,0,0,0,"0,00",0:00:00,20:55:46,3:04:14,3:04:14,2 kph,,
HBZN580NKLAH21750,22/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,23/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,24/06/2025,0,0,0,"0,00",0:00:00,16:48:05,7:11:55,7:11:55,0 kph,,
HBZN580NKLAH21750,25/06/2025,0,0,0,"0,00",0:00:00,17:13:01,6:46:59,6:46:59,0 kph,,
HBZN580NKLAH21750,26/06/2025,0,0,0,"0,00",0:00:00,18:09:15,5:50:45,5:50:45,0 kph,,
HBZN580NKLAH21750,27/06/2025,0,0,0,"0,00",0:00:00,18:37:41,5:22:19,5:22:19,0 kph,,
HBZN580NKLAH21750,28/06/2025,0,0,0,"0,00",0:00:00,22:44:50,1:15:10,1:15:10,0 kph,,
HBZN580NKLAH21750,29/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,
HBZN580NKLAH21750,30/06/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,

