UnitName,DayDate,Decelerations,Accelerations,HarshTurns,DistanceDriven1,DriveTime,OffTime,IdleTime,Textbox17,MaxSpeed,DriverName,GroupName
BVG-901,1/08/2025,0,0,0,"168,08",4:48:06,15:24:45,3:47:09,8:35:15,87 kph,,AGHASO
BVG-901,2/08/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,AGHASO
BVG-901,3/08/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,AGHASO
BVG-901,4/08/2025,0,0,0,"93,20",2:47:19,19:24:23,1:48:18,4:35:37,68 kph,,AGHASO
BVG-901,5/08/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,AGHASO
BVG-901,6/08/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,AGHASO
BVG-901,7/08/2025,0,0,1,"117,90",3:56:43,16:22:52,3:40:25,7:37:08,92 kph,,AGHASO
BVG-901,8/08/2025,1,0,0,"116,62",3:59:13,17:57:08,2:03:39,6:02:52,79 kph,,AGHASO
BVG-901,9/08/2025,0,0,0,"58,44",1:53:59,20:29:11,1:36:50,3:30:49,68 kph,,AGHASO
BVG-901,10/08/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,AGHASO
BVG-901,11/08/2025,0,0,0,"49,06",1:44:03,21:07:04,1:08:53,2:52:56,60 kph,,AGHASO

