UnitName,DayDate,Decelerations,Accelerations,HarshTurns,DistanceDriven1,DriveTime,OffTime,IdleTime,Textbox17,MaxSpeed,DriverName,GroupName
REEFER V1,2/10/2025,0,0,1,"413,69",10:28:46,7:51:16,5:39:58,16:08:44,69 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,3/10/2025,0,0,0,"430,59",12:17:56,5:47:36,5:54:28,18:12:24,76 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,4/10/2025,1,0,2,"346,93",9:47:20,12:03:59,2:08:41,11:56:01,64 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,5/10/2025,0,0,9,"465,36",11:33:04,4:57:27,7:29:29,19:02:33,71 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,6/10/2025,0,0,0,"183,05",3:58:37,8:24:10,11:37:13,15:35:50,84 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,7/10/2025,0,0,0,"677,74",16:27:32,1:10:21,6:22:07,22:49:39,92 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,8/10/2025,1,0,4,"654,72",18:30:11,0:15:11,5:14:38,23:44:49,114 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,9/10/2025,0,0,0,"274,05",8:12:31,0:42:40,15:04:49,23:17:20,63 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,10/10/2025,0,0,2,"653,39",17:57:13,1:28:37,4:34:10,22:31:23,89 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,11/10/2025,0,0,0,"711,50",14:24:20,1:06:58,8:28:42,22:53:02,92 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,12/10/2025,0,0,0,"620,59",18:03:05,-19:16:39,24:40:16,42:43:21,74 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,13/10/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,14/10/2025,0,0,4,"517,13",13:13:06,8:23:13,2:23:41,15:36:47,80 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,15/10/2025,0,0,0,"268,98",7:00:47,-19:57:25,35:01:48,42:02:35,63 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,16/10/2025,0,0,0,"0,00",0:00:00,24:00:00,0:00:00,0:00:00,0 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,17/10/2025,0,0,0,"490,44",12:39:41,7:22:32,3:57:47,16:37:28,71 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,18/10/2025,0,0,0,"459,02",13:50:00,-9:24:17,18:45:43,32:35:43,79 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,19/10/2025,0,0,1,"467,97",12:44:09,10:02:51,1:13:00,13:57:09,80 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,20/10/2025,0,0,0,"363,49",8:58:06,5:25:57,9:35:57,18:34:03,71 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,21/10/2025,0,0,1,"535,29",13:50:21,6:49:36,3:20:03,17:10:24,71 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,22/10/2025,0,0,1,"311,90",9:07:18,5:58:30,8:54:12,18:01:30,80 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,23/10/2025,0,0,0,"351,40",10:11:10,11:21:03,2:27:47,12:38:57,72 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,24/10/2025,0,0,2,"470,92",11:38:02,5:53:22,6:28:36,18:06:38,68 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,25/10/2025,0,0,0,"446,14",12:02:02,6:51:26,5:06:32,17:08:34,71 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,26/10/2025,0,0,0,"595,41",17:21:11,2:01:52,4:36:57,21:58:08,76 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,27/10/2025,2,0,1,"456,92",12:15:20,0:42:30,11:02:10,23:17:30,76 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,28/10/2025,0,0,1,"413,56",10:31:23,5:39:17,7:49:20,18:20:43,71 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,29/10/2025,0,0,0,"488,98",10:13:11,11:43:43,2:03:06,12:16:17,85 kph,,REEFER V1 Victoria Logistics EIRL
REEFER V1,30/10/2025,0,0,0,"56,07",1:05:32,13:51:48,9:02:40,10:08:12,68 kph,,REEFER V1 Victoria Logistics EIRL

