Secuencia;Unidad;Eventos;Fecha;Pt. Referencia;Dirección;Velocidad;Temperatura;Conductor;Latitud;Longitud
2479;ZNN824;Estacionado;Aug 03 2025 12:12 AM;;24QW+M9 San José, Caldas, Colombia;0;N/A;;5.0392410000;-75.8540340000
2478;ZNN824;Estacionado;Aug 02 2025 11:12 PM;;24QW+M9 San José, Caldas, Colombia;0;N/A;;5.0392410000;-75.8540340000
2477;ZNN824;Estacionado;Aug 02 2025 10:12 PM;;24QW+M9 San José, Caldas, Colombia;0;N/A;;5.0392410000;-75.8540340000
2476;ZNN824;Estacionado;Aug 02 2025 09:12 PM;;24QW+M9 San José, Caldas, Colombia;0;N/A;;5.0392410000;-75.8540340000
2475;ZNN824;Estacionado;Aug 02 2025 09:11 PM;;24QW+M9 San José, Caldas, Colombia;0;N/A;;5.0392410000;-75.8540340000
2474;ZNN824;Ignición Apagada;Aug 02 2025 09:11 PM;;24QW+JC San José, Caldas, Colombia;0;N/A;;5.0390760000;-75.8539890000
2473;ZNN824;Desplazándose - Ign. apagada;Aug 02 2025 09:11 PM;;24QW+JC San José, Caldas, Colombia;0;N/A;;5.0390760000;-75.8539890000
2472;ZNN824;Inmóvil - Detenido;Aug 02 2025 09:11 PM;;24QW+JC San José, Caldas, Colombia;0;N/A;;5.0390760000;-75.8539890000
2471;ZNN824;Inmóvil - Detenido;Aug 02 2025 09:10 PM;;24QW+JC San José, Caldas, Colombia;0;N/A;;5.0390760000;-75.8539890000
2470;ZNN824;Inmóvil - Detenido;Aug 02 2025 09:09 PM;;24QW+JC San José, Caldas, Colombia;0;N/A;;5.0390760000;-75.8539890000
2469;ZNN824;Inmóvil - Detenido;Aug 02 2025 09:08 PM;;24QW+JC San José, Caldas, Colombia;0;N/A;;5.0390760000;-75.8539890000
2468;ZNN824;Inmóvil - Detenido;Aug 02 2025 09:06 PM;;24QW+J9 San José, Caldas, Colombia;0;N/A;;5.0391760000;-75.8540310000
2467;ZNN824;Inmóvil - Detenido;Aug 02 2025 09:06 PM;;Av 25-43, Viterbo, Caldas, Colombia;0;N/A;;5.0389900000;-75.8544940000
2466;ZNN824;Inmóvil - Detenido;Aug 02 2025 09:06 PM;;24QW+H4 San José, Caldas, Colombia;0;N/A;;5.0389580000;-75.8546360000
2465;ZNN824;Inmóvil - Detenido;Aug 02 2025 09:05 PM;;Av 25-43, Viterbo, Caldas;0;N/A;;5.0390100000;-75.8547220000
2464;ZNN824;Conduciendo;Aug 02 2025 09:05 PM;;Av 25-31, Viterbo, Caldas;70;N/A;;5.0468850000;-75.8536330000
2463;ZNN824;Conduciendo;Aug 02 2025 09:04 PM;;Km 40 de la vía Pereira - Rio sucio, , Caldas, Colombia;70;N/A;;5.0576080000;-75.8520630000
2462;ZNN824;Conduciendo;Aug 02 2025 09:03 PM;;Km 41 de la vía Pereira - Rio sucio, , Caldas;59;N/A;;5.0675490000;-75.8505160000
2461;ZNN824;Conduciendo;Aug 02 2025 09:02 PM;;Av 25, Viterbo, Caldas, Colombia;72;N/A;;5.0777500000;-75.8479580000
2460;ZNN824;Conduciendo;Aug 02 2025 09:01 PM;;Av 25, Viterbo, Caldas, COLOMBIA;70;N/A;;5.0840440000;-75.8447010000
2459;ZNN824;Conduciendo;Aug 02 2025 09:01 PM;;Av 25, Viterbo, Caldas, Colombia;70;N/A;;5.0873580000;-75.8437430000
2458;ZNN824;Conduciendo;Aug 02 2025 09:00 PM;;I-25, Risaralda, Caldas, Colombia;69;N/A;;5.0978030000;-75.8418430000
2457;ZNN824;Conduciendo;Aug 02 2025 08:59 PM;;Av 25, Viterbo, Caldas, Colombia;59;N/A;;5.1068990000;-75.8390780000
2456;ZNN824;Conduciendo;Aug 02 2025 08:58 PM;;Av 25, Viterbo, Caldas;65;N/A;;5.1105480000;-75.8380310000
2455;ZNN824;Conduciendo;Aug 02 2025 08:58 PM;;Av 25, Viterbo, Caldas, Colombia;64;N/A;;5.1118780000;-75.8366170000
2454;ZNN824;Conduciendo;Aug 02 2025 08:58 PM;;Km 47 de la vía Pereira - Rio sucio, , Caldas, Colombia;70;N/A;;5.1105940000;-75.8332280000
2453;ZNN824;Conduciendo;Aug 02 2025 08:57 PM;;Km 47 de la vía Pereira - Rio sucio, , Caldas, Colombia;67;N/A;;5.1125930000;-75.8233090000
